county,deaths
Monroe,1300
Broome,307
Steuben,92
Columbia,101
New York,2064
Cortland,59
Erie,1685
Franklin,32
Herkimer,70
Niagara,388
Cattaraugus,62
Sullivan,261
Saratoga,163
Fulton,48
Cayuga,117
Bronx,2524
Livingston,83
Seneca,33
Washington,35
Essex,28
Wayne,68
Rensselaer,171
Chenango,47
Chemung,116
Wyoming,48
Greene,114
Dutchess,631
Otsego,67
Montgomery,37
Schoharie,22
Queens,2030
Orange,716
Delaware,60
Nassau,1955
Tioga,54
Putnam,148
Tompkins,113
Suffolk,3337
Chautauqua,192
Rockland,298
Ontario,109
Oswego,186
Yates,25
St. Lawrence,89
Orleans,47
Madison,76
Richmond,1067
Ulster,355
Westchester,1070
Lewis,37
Clinton,78
Schenectady,176
Hamilton,3
Onondaga,753
Oneida,336
Allegany,33
Genesee,96
Albany,370
Warren,45
Schuyler,8
Kings,2959
Jefferson,136